time (s),VT("/VIN") (V),VT("/VOUT") (V)
37.30E-6,-278.1E-3,-1.088E-3
37.32E-6,-315.3E-3,-69.01E-6
37.34E-6,-336.7E-3,44.78E-6
37.39E-6,-393.4E-3,-36.28E-6
37.47E-6,-445.6E-3,33.36E-6
37.50E-6,-450.0E-3,-28.53E-6
37.51E-6,-449.3E-3,-2.769E-6
37.53E-6,-444.7E-3,2.196E-6
37.60E-6,-401.5E-3,-1.901E-6
37.70E-6,-278.1E-3,2.768E-6
37.71E-6,-252.8E-3,535.5E-9
37.74E-6,-211.8E-3,427.1E-9
37.81E-6,-59.91E-3,98.99E-6
37.90E-6,159.8E-3,33.21E-3
37.96E-6,332.8E-3,150.6E-3
38.00E-6,450.0E-3,267.5E-3
38.05E-6,580.3E-3,392.0E-3
38.07E-6,657.1E-3,466.1E-3
38.16E-6,889.7E-3,691.3E-3
38.24E-6,1.065,861.5E-3
38.25E-6,1.096,888.0E-3
38.26E-6,1.108,895.5E-3
38.26E-6,1.115,897.9E-3
38.28E-6,1.135,900.4E-3
38.30E-6,1.178,899.8E-3
38.31E-6,1.198,900.0E-3
38.34E-6,1.235,900.0E-3
38.41E-6,1.316,900.0E-3
38.50E-6,1.350,900.0E-3
38.51E-6,1.349,900.0E-3
38.53E-6,1.345,900.0E-3
38.60E-6,1.303,900.0E-3
38.70E-6,1.178,900.0E-3
38.71E-6,1.153,900.0E-3
38.74E-6,1.112,900.0E-3
38.81E-6,960.0E-3,899.8E-3
38.90E-6,740.3E-3,853.7E-3
38.95E-6,585.5E-3,745.0E-3
39.00E-6,450.0E-3,616.4E-3
39.03E-6,352.7E-3,527.1E-3
39.07E-6,250.6E-3,432.8E-3
39.17E-6,1.366E-3,200.4E-3
39.24E-6,-172.6E-3,36.84E-3
39.30E-6,-278.1E-3,-1.088E-3
39.32E-6,-315.3E-3,-69.01E-6
39.34E-6,-336.7E-3,44.78E-6
39.39E-6,-393.4E-3,-36.28E-6
39.47E-6,-445.6E-3,33.36E-6
39.50E-6,-450.0E-3,-28.53E-6
39.51E-6,-449.3E-3,-2.769E-6
39.53E-6,-444.7E-3,2.196E-6
39.60E-6,-401.5E-3,-1.901E-6
39.70E-6,-278.1E-3,2.768E-6
39.71E-6,-252.8E-3,535.5E-9
39.74E-6,-211.8E-3,427.1E-9
39.81E-6,-59.91E-3,98.99E-6
39.90E-6,159.8E-3,33.21E-3
39.96E-6,332.8E-3,150.6E-3
40.00E-6,450.0E-3,267.5E-3
