vg (param),/M0/D vs 0.1  (A),/M0/D vs 0.15  (A),/M0/D vs 0.2  (A),/M0/D vs 0.25  (A),/M0/D vs 0.3  (A),/M0/D vs 0.35  (A),/M0/D vs 0.4  (A),/M0/D vs 0.45  (A),/M0/D vs 0.5  (A),/M0/D vs 0.55  (A),/M0/D vs 0.6  (A),/M0/D vs 0.65  (A),/M0/D vs 0.7  (A),/M0/D vs 0.75  (A),/M0/D vs 0.8  (A),/M0/D vs 0.85  (A),/M0/D vs 0.9  (A),/M0/D vs 0.95  (A),/M0/D vs 1  (A)
600.0E-3,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.501E-6,549.6E-9,103.7E-9,18.31E-9,2.153E-12,-3.736E-9,-4.359E-9,-4.929E-9,-5.505E-9,-6.104E-9,-6.732E-9,-7.394E-9,-8.095E-9
650.0E-3,128.6E-6,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.501E-6,549.6E-9,103.7E-9,18.31E-9,2.153E-12,-3.736E-9,-4.359E-9,-4.929E-9,-5.505E-9,-6.104E-9,-6.732E-9,-7.394E-9
700.0E-3,155.6E-6,128.6E-6,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.501E-6,549.6E-9,103.7E-9,18.31E-9,2.153E-12,-3.736E-9,-4.359E-9,-4.929E-9,-5.505E-9,-6.104E-9,-6.732E-9
750.0E-3,183.5E-6,155.6E-6,128.6E-6,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.501E-6,549.6E-9,103.7E-9,18.31E-9,2.154E-12,-3.736E-9,-4.359E-9,-4.929E-9,-5.505E-9,-6.104E-9
800.0E-3,212.5E-6,183.8E-6,155.9E-6,128.6E-6,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9,18.31E-9,2.154E-12,-3.736E-9,-4.359E-9,-4.929E-9,-5.505E-9
850.0E-3,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9,18.31E-9,2.154E-12,-3.736E-9,-4.359E-9,-4.929E-9
900.0E-3,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,102.8E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9,18.31E-9,2.154E-12,-3.736E-9,-4.359E-9
950.0E-3,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9,18.31E-9,2.154E-12,-3.736E-9
1.000,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.48E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9,18.31E-9,2.154E-12
1.050,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9,18.31E-9
1.100,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9,103.7E-9
1.150,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6,549.6E-9
1.200,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.16E-6,36.41E-6,20.09E-6,8.483E-6,2.550E-6
1.250,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.71E-6,36.41E-6,20.09E-6,8.483E-6
1.300,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.71E-6,36.41E-6,20.09E-6
1.350,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.71E-6,36.41E-6
1.400,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6,56.71E-6
1.450,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6,78.96E-6
1.500,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6,103.2E-6
1.550,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6,128.9E-6
1.600,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6,155.9E-6
1.650,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6,183.8E-6
1.700,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6,212.5E-6
1.750,817.7E-6,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6,241.8E-6
1.800,851.0E-6,817.7E-6,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6,271.7E-6
1.850,884.3E-6,851.0E-6,817.7E-6,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6,302.0E-6
1.900,917.6E-6,884.3E-6,851.0E-6,817.7E-6,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6,332.7E-6
1.950,951.0E-6,917.6E-6,884.3E-6,851.0E-6,817.7E-6,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6,363.7E-6
2.000,984.4E-6,951.0E-6,917.6E-6,884.3E-6,851.0E-6,817.7E-6,784.6E-6,751.5E-6,718.5E-6,685.6E-6,652.7E-6,620.0E-6,587.4E-6,554.9E-6,522.6E-6,490.4E-6,458.4E-6,426.6E-6,395.0E-6
